passage_id,title,sentence_id,chunk_index,en,ko
"demo-1","Under the Wheel",1,0,"Under the Wheel is a novel","『수레바퀴 아래서』는 소설이다"
"demo-1","Under the Wheel",1,1,"written by Hermann Hesse.","헤르만 헤세가 쓴"
"demo-1","Under the Wheel",2,0,"It tells the story","그것은 이야기를 들려준다"
"demo-1","Under the Wheel",2,1,"of a boy named Hans Giebenrath","한스 기벤라트라는 이름의 소년에 대한"
"demo-1","Under the Wheel",2,2,"and his struggles","그리고 그의 갈등을"
"demo-1","Under the Wheel",2,3,"as a student.","학생으로서의"
"demo-1","Under the Wheel",3,0,"This story is not only","이 이야기는 단지 ~만에 대한 것이 아니다"
"demo-1","Under the Wheel",3,1,"about studying hard.","열심히 공부하는 것에"
"demo-1","Under the Wheel",4,0,"It is about growing up,","그것은 성장하는 것에 대한 이야기이고,"
"demo-1","Under the Wheel",4,1,"pressure from adults,","어른들로부터의 압박,"
"demo-1","Under the Wheel",4,2,"and thinking for yourself.","그리고 스스로 생각하는 것에 대한 이야기이다"
"demo-1","Under the Wheel",5,0,"Hans is a smart","한스는 똑똑하고"
"demo-1","Under the Wheel",5,1,"and hardworking boy.","열심히 공부하는 소년이다"
"demo-1","Under the Wheel",6,0,"His father, teachers,","그의 아버지, 선생님들,"
"demo-1","Under the Wheel",6,1,"and the church","그리고 교회는"
"demo-1","Under the Wheel",6,2,"all have high expectations","모두 높은 기대를 가지고 있다"
"demo-1","Under the Wheel",6,3,"of him.","그에게"
"demo-1","Under the Wheel",7,0,"They want him","그들은 그가 ~하길 원한다"
"demo-1","Under the Wheel",7,1,"to enter a religious school","종교 학교에 들어가서"
"demo-1","Under the Wheel",7,2,"and become a successful person.","성공한 사람이 되기를"
"demo-1","Under the Wheel",8,0,"Hans studies hard","한스는 열심히 공부한다"
"demo-1","Under the Wheel",8,1,"because he does not want","왜냐하면 그는 ~하고 싶지 않기 때문이다"
"demo-1","Under the Wheel",8,2,"to disappoint them.","그들을 실망시키는 것을"
"demo-1","Under the Wheel",9,0,"At first,","처음에,"
"demo-1","Under the Wheel",9,1,"he believes","그는 믿는다"
"demo-1","Under the Wheel",9,2,"that following adults","어른들을 따르는 것이"
"demo-1","Under the Wheel",9,3,"is the right thing to do.","옳은 일이라고"
"demo-1","Under the Wheel",10,0,"However,","그러나,"
"demo-1","Under the Wheel",10,1,"as time goes on,","시간이 지나면서,"
"demo-1","Under the Wheel",10,2,"Hans starts to feel tired","한스는 피곤함을 느끼기 시작하고"
"demo-1","Under the Wheel",10,3,"and confused.","혼란스러워진다"
"demo-1","Under the Wheel",11,0,"He has little time","그는 거의 시간이 없다"
"demo-1","Under the Wheel",11,1,"to rest, play,","쉬거나, 놀거나,"
